反照率 Albedo
材质7金属度 Material7Metallic
材质8金属度 Material8Metallic
材质1基础粗糙度 Material1RoughnessBase
材质2基础粗糙度 Material2RoughnessBase
材质3基础粗糙度 Material3RoughnessBase
材质4基础粗糙度 Material4RoughnessBase
材质5基础粗糙度 Material5RoughnessBase
材质6基础粗糙度 Material6RoughnessBase
材质7基础粗糙度 Material7RoughnessBase
材质8基础粗糙度 Material8RoughnessBase
材质1粗糙度累积 Material1RoughnessBuildUp
材质2粗糙度累积 Material2RoughnessBuildUp
材质3粗糙度累积 Material3RoughnessBuildUp
材质4粗糙度累积 Material4RoughnessBuildUp
材质5粗糙度累积 Material5RoughnessBuildUp
材质6粗糙度累积 Material6RoughnessBuildUp
材质7粗糙度累积 Material7RoughnessBuildUp
材质8粗糙度累积 Material8RoughnessBuildUp
材质1表面 Material1Surface
材质2表面 Material2Surface
材质3表面 Material3Surface
材质4表面 Material4Surface
材质5表面 Material5Surface
材质6表面 Material6Surface
材质7表面 Material7Surface
材质8表面 Material8Surface
材质1表面法线 Material1SurfaceNormal
材质2表面法线 Material2SurfaceNormal
材质3表面法线 Material3SurfaceNormal
材质4表面法线 Material4SurfaceNormal
材质5表面法线 Material5SurfaceNormal
材质6表面法线 Material6SurfaceNormal
材质7表面法线 Material7SurfaceNormal
材质8表面法线 Material8SurfaceNormal
材质1表面粗糙度 Material1SurfaceRoughness
材质2表面粗糙度 Material2SurfaceRoughness
材质3表面粗糙度 Material3SurfaceRoughness
材质4表面粗糙度 Material4SurfaceRoughness
材质5表面粗糙度 Material5SurfaceRoughness
材质6表面粗糙度 Material6SurfaceRoughness
材质7表面粗糙度 Material7SurfaceRoughness
材质8表面粗糙度 Material8SurfaceRoughness
材质1表面值 Material1SurfaceValue
材质2表面值 Material2SurfaceValue
材质3表面值 Material3SurfaceValue
材质4表面值 Material4SurfaceValue
材质5表面值 Material5SurfaceValue
材质6表面值 Material6SurfaceValue
材质7表面值 Material7SurfaceValue
材质8表面值 Material8SurfaceValue
材质01平铺乘数 Material01TileMultiplier
材质02平铺乘数 Material02TileMultiplier
材质03平铺乘数 Material03TileMultiplier
材质04平铺乘数 Material04TileMultiplier
材质05平铺乘数 Material05TileMultiplier
材质06平铺乘数 Material06TileMultiplier
材质07平铺乘数 Material07TileMultiplier
材质08平铺乘数 Material08TileMultiplier
材质1磨损腔边缘 Material1WearCavityEdge
材质2磨损腔边缘 Material2WearCavityEdge
材质4磨损腔边缘 Material4WearCavityEdge
材质5磨损腔边缘 Material5WearCavityEdge
材质6磨损腔边缘 Material6WearCavityEdge
材质7磨损腔边缘 Material7WearCavityEdge
材质2磨损腔边缘01 Material2WearCavityEdge01
材质2磨损腔边缘06 Material2WearCavityEdge06
最大自发光 MaxEmissive
金属度 Metalic
金属度01 Metallic01
金属不透明度 MetallicOpacity
微环境光遮蔽 MicroAo
微环境光遮蔽强度 MicroAoIntensity
最小自发光 MinEmissive
乘数 Multiply
噪声01通道 Noise01Channel
噪声01指数 Noise01Exp
噪声01最大指数 Noise01ExpMax
噪声01最小指数 Noise01ExpMin
噪声01最小最大值 Noise01Minmax
噪声01速度 Noise01Speed
噪声01平铺 Noise01Tile
噪声02通道 Noise02Channel
噪声02指数 Noise02Exp
噪声02最小最大值 Noise02Minmax
噪声02速度 Noise02Speed
噪声02平铺 Noise02Tile
噪声通道 NoiseChannel
噪声通道02 NoiseChannel02
噪声指数 NoiseExp
噪声最大值 NoiseMax
噪声最小值 NoiseMin
噪声乘数 NoiseMult
噪声偏移 NoiseOffset
噪声缩放 NoiseScale
噪声强度 NoiseStrength
法线CC规范不透明度 NormalCcnormOpacity
法线强度 NormalIntensity
生物群落A法线强度 NormalIntensityBiomeA
生物群落B法线强度 NormalIntensityBiomeB
地面法线强度 NormalIntensityGround
远景细节法线强度 NormalIntensityVistaDetail
法线镜像 NormalMirroring
生命周期法线 NormalOverLife
法线拉起 NormalPullUp
法线强度 NrmStr
平铺数量 NumTiles
偏移指数 OffsetExp
闪光偏移指数 OffsetFlashExp
闪光偏移乘数 OffsetFlashMult
最大偏移 OffsetMax
最小偏移 OffsetMin
偏移乘数 OffsetMult
不透明度偏移 OpacityOffset
不透明度锐度 OpacitySharpness
不透明度阈值 OpacityThreshold
远处不透明度阈值 OpacityThresholdFar
不透明度阈值淡入距离倒数 OpacityTreshholdFadeDistanceInv
叠加遮罩量 OverlayMaskAmount
调色板槽 PaletteSlot
视差偏移 ParallaxBias
视差强度 ParallaxIntensity
云视差强度 ParallaxIntensityCloud
视差缩放 ParallaxScale
粒子年龄生命周期 ParticleAgeLife
仅粒子颜色 ParticleColorOnly
星球粗糙度强度 PlanetRoughnessIntesity
星球缩放乘数 PlanetScaleMult
星球阴影距离衰减 PlanetShadowDistanceFalloff
星球WP位置 PlanetWpPos
星球WP缩放 PlanetWpScale
点锥度 PointTaper
幂 Power
防止地形变形 PreventTerrainDeformation
阻止地形变形 PreventsTerrainDeformation
下坡指数 RampDownExpHacky
瑞利贝塔空间星球 RayleighBetaSpaceplanet
区域位置偏移 RegionPositionOffset
重映射最小值 RemapMinValue
分辨率设置 ResolutionSetting
准星颜色 ReticleColor
河流量 RiverAmount
河流平滑 RiverSmooth
粗糙度 Roughness
粗糙度乘数 RoughnessMulti
粗糙度不透明度 RoughnessOpacity
采样地形反照率 SampleTerrainAlbedo
标量场截止 ScalarFieldCutoff
扫描速度 ScanSpeed
扫描线01强度 Scanline01Intensity
扫描线02强度 Scanline02Intensity
扫描线数量 ScanlineCount
扫描线数量02 ScanlineCount02
扫描线距离缩放 ScanlineDistScale
扫描线厚度 ScanlineThickness
扫描线厚度02 ScanlineThickness02
第二不透明度影响 SecondOpacityInfluence
第二不透明度最小值 SecondOpacityMin
第二不透明度起始 SecondOpacityStart
选定偏移 SelectedOffset
选定缩放 SelectedScale
自发光颜色 SelfEmissiveColor
自发光强度 SelfEmissiveIntensity
自身星球索引 SelfPlanetIndex
阴影夹紧到近平面 ShadowClampToNearPlane
阴影强度 ShadowIntensity
投射阴影 ShadowsCasting
浅水颜色 ShallowWaterColor
护盾ID ShieldId
跳过朝向 SkipFacing
雪量 SnowAmount
从底部积雪 SnowFromBottom
从高度积雪 SnowFromHeight
从法线积雪 SnowFromNormal
从顶部积雪 SnowFromTop
底部雪硬度 SnowHardnessBottom
顶部雪硬度 SnowHardnessTop
雪索引 SnowIndex
雪索引0 SnowIndex0
雪遮罩 SnowMask
雪遮罩深度 SnowMaskDepth
雪遮罩硬度 SnowMaskHardness
雪遮罩平铺 SnowMaskTile
雪法线位移 SnowNormalDisplacement
雪法线强度 SnowNormalIntensity
雪法线强度01 SnowNormalIntensity01
雪法线遮罩 SnowNormalMask
每区域雪禁用 SnowPerZoneDisabling
雪SS厚度 SnowSsThickness
雪平铺 SnowTile
雪平铺01 SnowTile01
雪踩踏法线模糊 SnowTrampleNormalBlur
雪踩踏法线强度 SnowTrampleNormalIntensity
雪上位移 SnowUpDisplacement
特殊污垢颜色 SpecialGunkColor
高光 Specular
高光曲线 SpecularCurve
高光强度 SpecularIntensity
高光乘数 SpecularMulti
速度 Speed
次表面扩散 SsDiffusion
次表面强度乘数 SsIntensityMult
次表面厚度 SsThickness
次表面散射强度 SssIntensity
次表面散射包裹 SssWrap
星星颜色 StarColor
星星不透明度 StarOpacities
星星平铺量 StarTilingAmount
次表面扩散 SubsurfaceDiff
次表面散射扩散 SubsurfaceDiffusion
次表面淡出曲线 SubsurfaceFadeCurve
次表面淡出距离 SubsurfaceFadeDistance
次表面强度 SubsurfaceInt
次表面散射强度 SubsurfaceIntensity
次表面遮蔽强度 SubsurfaceOcclusionIntensity
次表面遮蔽遮罩曲线 SubsurfaceOcclusionMaskcurve
次表面厚度 SubsurfaceThickness
次表面色调 SubsurfaceTint
次表面包裹 SubsurfaceWrap
太阳颜色 SunCol
太阳颜色覆盖 SunColorOverride
太阳方向 SunDir
太阳方向覆盖 SunDirectionOverride
锥度指数 TaperExp
撕裂量 TearAmount
地形混合曲线 TerrainBlendCurve
地形混合高度 TerrainBlendHeight
地形颜色插值 TerrainColorLerp
地形块大小 TerrainPatchSize
地形大小 TerrainSize
地形平铺 TerrainTiling
测试01 Test01
测试02 Test02
测试03 Test03
纹理为灰度 TexIsGreyscale
平铺因子 TileFactor
云边缘平铺因子 TileFactorCloudsEdges
云内部平铺因子 TileFactorCloudsInside
噪声平铺因子 TileFactorNoise
平铺大小 TileSize
平铺AO强度 TilerAoIntensity
平铺法线强度 TilerNormalIntensity
平铺 Tiling
平铺因子 TilingFactor
地面平铺 TilingGround
远景细节平铺 TilingVistaDetail
时间加法 TimeAdd
时间乘数 TimeMult
时间乘数 TimeMultiplier
色调 Tint
色调01 Tint01
色调02 Tint02
色调遮罩颜色 TintMaskColor
尖端梯度重映射 TipGradientRemap
顶部颜色色调 TopColorTint
顶部污垢值 TopDirtValue
踩踏量 TrampleAmount
踩踏脚步Mip模糊 TrampleFootstepMipBlur
踩踏脚步法线权重 TrampleFootstepNormalWeight
踩踏湿润权重 TrampleMakeWetWeight
踩踏杂项权重 TrampleMiscWeight
踩踏法线权重 TrampleNormalWeight
踩踏水坑权重 TramplePuddleWeight
踩踏雪索引 TrampleSnowIndex
树木深度缩放 TreeDepthScale
三平面细节平铺器 TriplanarDetailTiler
三平面细节平铺器0 TriplanarDetailTiler0
三平面细节平铺器1 TriplanarDetailTiler1
三平面遮罩锐化 TriplanarMaskSharpen
三平面法线强度 TriplanarNormalIntensity
三平面平铺 TriplanarTiling
三平面顶点法线插值 TriplanarVertexNormalLerp
湍流 Turbulence
贴花后基础法线不透明度 UnderlyingNormalBehindDecalOpacity
上淡出曲线 UpFadeCurve
上淡出距离 UpFadeDistance
使用CC粗糙度或湿润度 UseCcrouSpecIrWet
使用R通道作为水 UseChannelRForWater
使用侵蚀贴图 UseErodeMap
使用前向轴 UseForwardAxis
使用菲涅尔 UseFresnel
使用大伤口查找 UseLargeWoundLookup
使用法线贴图 UseNormalMap
使用法线贴图Alpha UseNormalMapAlpha
使用对象相机变换 UseObjectCameraTransform
使用视差 UseParallax
使用粒子Alpha UseParticleAlpha
使用次表面散射 UseSss
使用踩踏 UseTrample
使用上向量 UseUpVector
UV扭曲 UvDistortion
UV指数 UvExp
UV映射技术 UvMappingTechniques
UV偏移 UvOffset
UV矩形 UvRect
UV旋转01 UvRotate01
UV旋转02 UvRotate02
UV缩放 UvScale
UV缩放乘数 UvScalingMult
UV缩放比例 UvScalingRatio
顶点变形标志 VertexDeformationFlags
水颜色 WaterColor
水对比度 WaterContrast
水不透明度 WaterOpacity
水旋转 WaterRotate
风化量 WeatheringAmount
风化AO量 WeatheringAoAmount
风化AO截止 WeatheringAoCutoff
风化覆盖 WeatheringCoverage
风化覆盖乘数 WeatheringCoverageMultiplier
风化曲线 WeatheringCurve
风化污垢负权重 WeatheringDirtWeightsNegative
风化污垢正权重 WeatheringDirtWeightsPositive
风化动态平铺 WeatheringDynamicTiling
风化高度 WeatheringHeight
风化高度曲线 WeatheringHeightCurve
风化遮罩 WeatheringMasking
风化法线强度 WeatheringNormalIntensity
风化法线乘数 WeatheringNormalMult
污垢上风化量 WeatheringOnDirtAmount
风化特殊情况 WeatheringSpecialCase
风化特殊负权重 WeatheringSpecialWeightsNegative
风化特殊正权重 WeatheringSpecialWeightsPositive
风化厚度 WeatheringThickness
风化平铺因子 WeatheringTileFactor
风化平铺 WeatheringTiling
风化上淡出影响 WeatheringUpFadeInfluence
风化变体 WeatheringVariant
风化包裹 WeatheringWrap
湿润度 Wetness
底部湿润度 WetnessBottom
水坑湿润度 WetnessPuddles
世界 World
世界遮罩大小 WorldMaskSize
伤口绘制启用 WoundPaintingEnabled
伤口视差缩放 WoundParallaxScale
伤口平铺缩放 WoundTileScale
可伤口ID WoundableId
区域湿润度 ZoneWetness
添加自发光滚动 AddEmissiveScrolling
添加不透明度 AddOpacity
反照率颜色去饱和 AlbedoColorDesaturation
反照率颜色插值 AlbedoColorLerp
反照率颜色Mip AlbedoColorMip
Alpha指数 AlphaExp
Alpha乘数 AlphaMult
Alpha乘数2 AlphaMultiplier2
Alpha阈值 AlphaThreshold
环境颜色量 AmbientColorAmount
环境光遮蔽权重 AmbientOcclusionWeights
弹药容量 AmmoCapacity
振幅 Amplitude
角度结束 AngleEnd
角度淡出指数 AngleFadeExp
角度菲涅尔 AngleFresnel
角度梯度缩放 AngleGradientScale
角度开始 AngleStart
轴颜色 AxisColor
轴线锐度 AxisLineSharpness
轴线厚度 AxisLineThickness
轴乘数 AxisMult
轴填充 AxisPadding
B2大扭曲 B2DistortionLarge
B2小扭曲 B2DistortionSmall
B2噪声01通道 B2Noise01Channel
B2噪声01速度 B2Noise01Speed
B2噪声01平铺 B2Noise01Tile
B2噪声02通道 B2Noise02Channel
B2噪声02速度 B2Noise02Speed
B2噪声02平铺 B2Noise02Tile
背景颜色 BackgroundColor
基础颜色Alpha BaseColorAlpha
基础颜色_ BaseColor_
基础薄度 BaseThinness
光束核心薄度 BeamCoreThinness
黑洞中心距离 BhCentDist
黑洞强度 Bhintenseon
增强峰值 BoostPeaks
增强谷值 BoostVallys
亮度 Brightness
亮度乘数 BrightnessMult
腔体幂 CavityPow
腔体阈值 CavityThreshold
中心衰减 CenterFalloff
中心内半径 CenterInnerRadius
变化百分比 ChangePercentage
悬崖Alpha CliffAlpha
悬崖颜色 CliffColor
颜色01 Color01
颜色01强度 Color01Intensity
颜色02 Color02
颜色02强度 Color02Intensity
颜色变化 ColorChange
颜色淡出 ColorFade
全彩 ColorFull
内部颜色 ColorInner
颜色倾斜指数 ColorLeanExp
颜色插值 ColorLerp
外部颜色 ColorOuter
行列数 ColumnsAndRows
核心指数 CoreExp
核心倍增 CoreMult
核心不透明度倍增 CoreOpacityMult
贴图淡出起始 DecalFadeStart
深度距离 DepthDist
深度倍增器 DepthMultipiler
显示弹匣 DisplayMagazine
距离 Dist
大扭曲 DistortionLarge
小扭曲 DistortionSmall
扭曲强度 DistortionStr
扭曲U速度 DistortionUSpeed
绘制于 DrawOn
尘度 Dustiness
边缘淡出暗化 EdgeFadeDarkening
边缘淡出距离 EdgeFadeDistance
边缘淡出不透明度 EdgeFadeOpacity
自发光指数 EmissiveExp
自发光色调 EmissiveTint
启用颜色变化 EnableColorChange
末端距离遮罩 EndDistMask
能量速度 EnergySpeed
能量平铺 EnergyTile
顶部淡出 FadeTop
远距最大值 FarMax
远距最小值 FarMin
贴图Mip级别 FeedMipLevel
填充色调 FillTint
平底 FlatBottom
闪烁速度 FlickerSpeed
雾生成颜色 FogGenerationColor
雾生成密度最大值 FogGenerationDensityMax
雾生成密度最小值 FogGenerationDensityMin
雾生成衰减 FogGenerationFallOff
雾生成高度 FogGenerationHeight
雾生成噪点比例 FogGenerationNoiseScale
前景透明度 ForegroundAlpha
前景颜色 ForegroundColor
频率 Frequency
霜冻权重1 FrostWeight1
霜冻权重2 FrostWeight2
故障数量标量 GlitchAmountScalar
辉光指数 GlowExp
图形积分颜色倍增 GraphIntegralColorMult
图形积分不透明度倍增 GraphIntegralOpacityMult
图形线条锐度 GraphLineSharpnes
图形线条厚度 GraphLineThickness
高度梯度比例 HeightGradientScale
高度限制结束 HeightLimitEnd
高度限制起始 HeightLimitStart
高度修改器 HeightModifier
高度倍增器 HeightMultiplier
全息层隐藏 HideInHologramLayers
全息效果类型 HologramEffectType
忽略展平查找 IgnoreFlatteningLookup
反点大小 InvDotSize
反向深度 InverseDepth
反向深度距离 InverseDepthDist
反转生命周期 InvertLifetime
生命周期指数 LifetimeExponent
生命周期倍增 LifetimeMult
线条颜色 LineColor
线条颜色不透明度 LineColorOpacity
位置距离 LocationDistance
位置梯度比例 LocationGradientScale
循环 Looping
低值 LowValue
亮度曲线 LuminocityCurve
亮度曲线 LumonocityCurve
LUT指数 LutExp
遮罩末端 MaskEnds
遮罩指数 MaskExp
遮罩衰减 MaskFalloff
遮罩内半径 MaskInnerRadius
遮罩倍增 MaskMult
遮罩强度 Maskstrength
材质 Material
材质索引通道绿 MaterialIndexChannelGreen
材质索引通道红 MaterialIndexChannelRed
材质查找 MaterialLookup
材质变量030aff38 MaterialVariable030aff38
材质变量2e0311cc MaterialVariable2e0311cc
材质变量8c87a458 MaterialVariable8c87a458
最大显示弹匣数 MaxDisplayedMagazines
最大亮度 MaxLuminocity
最大值 Maximum
金属度 Metallic
最小亮度 MinLuminocity
最小贴图指数 MinTexExp
最小贴图指数01 MinTexExp01
最小值 Minimum
Mip级别 MipLevel
苔藓权重 MossWeight
苔藓权重1 MossWeight1
苔藓权重2 MossWeight2
中心倍增 MultCenter
薄度倍增 MultThinness
噪点偏移 NoiseBias
噪点ID NoiseId
噪点锐度 NoiseSharpness
噪点速度01 NoiseSpeed01
噪点速度02 NoiseSpeed02
噪点平铺01 NoiseTile01
噪点平铺02 NoiseTile02
噪点平铺 NoiseTiling
偏移01速度 Offset01Speed
偏移01平铺 Offset01Tile
偏移02速度 Offset02Speed
偏移02平铺 Offset02Tile
边缘收紧偏移 OffsetEdgeTighten
不透明度 Opacity
不透明度梯度指数 OpacityGradientExp
不透明度倍增 OpacityMult
不透明度斜坡指数 OpacityRampExp
隐形不透明度 OpacityStealth
不透明度强度 OpacityStrength
外辉光指数 OuterGlowExp
外辉光倍增 OuterGlowMult
填充 Padding
平移速度1 PanningSpeed1
平移速度2 PanningSpeed2
路径距离 PathDistance
路径距离结束 PathDistanceEnd
路径距离起始 PathDistanceStart
路径梯度比例 PathGradientScale
峰值强度 PeakPow
峰值阈值 PeakThreshold
百分比 Percent
百分比 Percentage
代理颜色 ProxyColor
径向UV RadialUvs
随机翻转 RandomFlipping
重映射低值 RemapLow
重映射亮度 RemapLum
脊强度 RidgePow
脊阈值 RidgeThreshold
脊数量 RidgesCount
脊强度 RidgesStrength
道路颜色 RoadColor
道路不透明度 RoadOpacity
道路宽度 RoadWidth
旋转速度 RotationSpeed
剩余轮数 RoundsRemaining
路线颜色 RouteColor
路线不透明度 RouteOpacity
路线宽度 RouteWidth
滚动速度 ScrollSpeed
阴影高度倍增器 ShadowHeightMultiplier
侧面暗化 SidewaysDarkening
正弦速度 SinSpeed
正弦波低值 SineWaveLow
天空穹顶强度 SkydomeIntensity
坡度锐化 SlopeSharpen
雪基底色 SnowBasecolor
雪平铺 SnowTiling
雪权重 SnowWeight
雪权重1 SnowWeight1
雪权重2 SnowWeight2
压平因子 StampFlattenFactor
起始角度 StartAngle
描边比例 StrokeScale
次表面颜色 SubsurfaceColor
地形法线Mip TerrainNormalMip
地形属性1Mip TerrainProperties1Mip
地形属性2Mip TerrainProperties2Mip
地形属性Mip TerrainPropertiesMip
地形属性Mip混合 TerrainPropertiesMipMix
地形类型LUT TerrainTypeLut
贴图指数 TexExp
贴图指数滑块 TexExpSlider
纹理偏移 TextureOffset
纹理比例 TextureScale
增厚最大值 ThickenMax
增厚最小值 ThickenMin
减薄最大值 ThinnerMax
减薄最小值 ThinnerMin
平铺最大值 TilerMaxValue
平铺最小值 TilerMinValue
平铺倍增器 TilerMultiplier
